camera_id,year,month,accidents
DEI-007/CAM-03,2019,12,155
DEI-007/CAM-03,2020,1,103
DEI-007/CAM-03,2020,2,116
DEI-007/CAM-03,2020,3,80
DEI-007/CAM-03,2020,4,27
DEI-007/CAM-03,2020,5,42
DEI-007/CAM-03,2020,6,76
DEI-007/CAM-03,2020,7,90
DEI-007/CAM-03,2020,8,80
DEI-007/CAM-03,2020,9,79
DEI-007/CAM-03,2020,10,110
DEI-007/CAM-03,2020,11,110
DEI-007/CAM-03,2020,12,103
DEI-007/CAM-03,2021,1,70
DEI-007/CAM-03,2021,2,80
DEI-007/CAM-03,2021,3,122
DEI-007/CAM-03,2021,4,91
DEI-007/CAM-03,2021,5,82
DEI-007/CAM-03,2021,6,123
DEI-007/CAM-03,2021,7,98
DEI-007/CAM-03,2021,8,93
DEI-007/CAM-03,2021,9,111
DEI-007/CAM-03,2021,10,127
DEI-007/CAM-03,2021,11,123
DEI-007/CAM-03,2021,12,107
DEI-007/CAM-03,2022,1,130
DEI-007/CAM-03,2022,2,139
DEI-007/CAM-03,2022,3,146
DEI-007/CAM-03,2022,4,131
DEI-007/CAM-03,2022,5,135
DEI-007/CAM-03,2022,6,138
DEI-007/CAM-03,2022,7,137
DEI-007/CAM-03,2022,8,108
DEI-007/CAM-03,2022,9,136
DEI-007/CAM-03,2022,10,71
DEI-007/CAM-03,2022,11,61
DEI-007/CAM-03,2022,12,57
DEI-008/CAM-01,2019,1,2
DEI-008/CAM-01,2019,2,3
DEI-008/CAM-01,2019,3,2
DEI-008/CAM-01,2019,4,3
DEI-008/CAM-01,2019,5,2
DEI-008/CAM-01,2019,7,2
DEI-008/CAM-01,2019,9,2
DEI-008/CAM-01,2019,11,2
DEI-008/CAM-01,2019,12,4
DEI-008/CAM-01,2020,1,1
DEI-008/CAM-01,2020,2,2
DEI-008/CAM-01,2020,3,2
DEI-008/CAM-01,2020,8,1
DEI-008/CAM-01,2020,9,4
DEI-008/CAM-01,2020,10,2
DEI-008/CAM-01,2020,11,1
DEI-008/CAM-01,2020,12,2
DEI-008/CAM-01,2021,1,7
DEI-008/CAM-01,2021,2,5
DEI-008/CAM-01,2021,3,10
DEI-008/CAM-01,2021,4,6
DEI-008/CAM-01,2021,5,10
DEI-008/CAM-01,2021,6,7
DEI-008/CAM-01,2021,7,6
DEI-008/CAM-01,2021,8,9
